Gold (OG|GC) OGV6 (23.22 DTE) vs 4389.5 (-57.3) - Open Interest
Put: 62,441 Call: 124,970 Vol: 22.85 Vol Chg: 0.93 Future Chg: -57.3
Strike,Call,Put,Vol Settle
4110,16,102,0.23233430611555406
4115,9,166,0.23176306929487644
4120,25,91,0.23120647208587464
4125,26,237,0.230664388078754
4130,29,353,0.230136691513259
4135,169,236,0.2296232572787904
4140,11,123,0.22912396091420284
4145,8,160,0.2286386786080019
4150,380,1043,0.22816728719823764
4155,41,86,0.22770966417253113
4160,29,73,0.22726568766808342
4165,51,195,0.2268352364716506
4170,20,76,0.22641819001955987
4175,94,242,0.22601442839772723
4180,85,66,0.22562383234162198
4185,24,107,0.22524628323628093
4190,22,54,0.22488166311634394
4195,14,45,0.22452985466597752
4200,1909,2555,0.22419074121893345
4205,64,81,0.22386420675857366
4210,36,51,0.22355013591774942
4215,72,98,0.22324841397895234
4220,68,72,0.22295892687422558
4225,100,256,0.22268156118517624
4230,53,116,0.22241620414296115
4235,42,74,0.22216274362835442
4240,21,72,0.22192106817166923
4245,76,105,0.2216910669527934
4250,385,900,0.22147262980120708
4255,55,736,0.2212656471959118
4260,71,83,0.2210700102655423
4265,118,298,0.22088561078822622
4270,242,336,0.220712341191744
4275,143,128,0.22055009455341335
4280,79,247,0.22039876460007335
4285,73,35,0.22025824570822827
4290,105,111,0.22012843290386996
4295,86,76,0.22000922186262883
4300,1576,2337,0.21990050890962287
4305,31,114,0.2198021910196264
4310,126,93,0.21971416581692438
4315,213,268,0.21963633157540308
4320,32,246,0.2195685872185198
4325,156,228,0.21951083231925494
4330,361,99,0.21946296710026658
4335,44,249,0.21942489243363283
4340,64,21,0.2193965098411379
4345,39,45,0.21937772149404466
4350,1629,1493,0.21936843021327412
4355,106,42,0.21936853946920642
4360,75,40,0.2193779533818887
4365,54,73,0.2193965767209125
4370,59,99,0.2194243149053925
4375,554,492,0.21946107400410497
4380,63,69,0.2195067607352641
4385,80,1117,0.2195612824668025
4390,101,111,0.2196245472161138
4395,53,96,0.2196964636502301
4400,2641,2898,0.21977694108572976
4405,54,55,0.219865889488716
4410,81,80,0.2199632194749661
4415,136,63,0.22006884230970414
4420,318,137,0.2201826699078211
4425,137,295,0.22030461483369734
4430,142,114,0.22043459030141221
4435,85,46,0.22057251017448465
4440,79,139,0.22071828896604373
4445,209,121,0.22087184183882158
4450,1209,1214,0.22103308460509652
4455,50,54,0.22120193372672148
4460,115,77,0.22137830631507072
4465,106,96,0.22156212013118903
4470,165,41,0.22175329358561058
4475,148,802,0.2219517457384761
4480,152,37,0.22215739629950093
4485,83,375,0.22237016562790757
4490,197,47,0.22258997473260322
4495,263,62,0.2228167452719525
4500,2718,2244,0.22305039955397987
4505,157,42,0.2232908605362134
4510,275,152,0.22353805182575925
4515,198,33,0.2237918976793658
4520,132,58,0.2240523230032352
4525,431,274,0.22431925335325786
4530,46,24,0.22459261493478522
4535,98,50,0.22487233460286404
4540,121,97,0.2251583398619772
4545,59,42,0.22545055886631005
4550,918,996,0.22574892041945915
4555,225,290,0.2260533539747449
4560,107,99,0.22636378963502324
4565,195,32,0.2266801581526181
4570,147,72,0.22700239092954533
4575,1310,269,0.22733042001734205
4580,461,732,0.2276641781171307
4585,120,53,0.228003598579555
4590,217,53,0.2283486154048937
4595,135,31,0.228699163242986
4600,4502,1010,0.22905517739316394
4605,42,18,0.22941659380445856
4610,327,141,0.22978334907534048
4615,94,47,0.23015538045397577
4620,41,97,0.23053262583799494
4625,454,126,0.23091502377466355
4630,240,148,0.23130251346078978
4635,154,18,0.23169503474277064
4640,533,154,0.2320925281165387
4645,503,64,0.23249493472765081
4650,2272,420,0.23290219637119236
4655,38,32,0.2333142554917984
4660,131,47,0.23373105518377102
4665,214,31,0.23415253919084478
4670,149,15,0.2345786519064781
4675,278,218,0.23500933837354054
4680,542,711,0.23544454428460782
4685,422,7,0.23588421598175913
4690,61,9,0.23632830045665543
4695,91,29,0.23677674535050386
4700,4138,833,0.23722949895411816
4705,40,8,0.23768651020790443
4710,160,52,0.2381477287017546
